age,annual_income,years_experience,website_visits,avg_session_minutes,purchased
21,28000,1,2,4.1,0
24,32000,2,3,5.2,0
26,35000,3,4,6.3,0
28,42000,4,5,7.8,0
31,48000,6,5,8.4,1
34,52000,8,6,9.1,1
36,58000,10,7,10.2,1
39,62000,12,8,11.4,1
42,68000,15,8,12.1,1
45,72000,17,9,13.7,1
48,76000,20,10,14.2,1
52,82000,24,10,15.4,1
23,30000,1,1,3.7,0
25,37000,2,2,4.9,0
29,45000,5,4,6.8,0
33,50000,7,5,8.1,1
35,56000,9,6,9.6,1
38,61000,11,7,10.7,1
41,65000,14,7,11.8,1
44,70000,16,8,12.9,1
47,74000,19,9,13.8,1
50,79000,22,9,14.8,1
22,29000,1,2,4.0,0
27,39000,4,3,5.7,0
30,43000,5,4,6.5,0
32,47000,6,5,7.6,1
37,59000,10,6,9.9,1
40,63000,13,7,11.0,1
43,69000,15,8,12.5,1
46,73000,18,8,13.4,1
49,78000,21,9,14.5,1
53,85000,26,11,16.2,1
20,26000,0,1,3.1,0
28,41000,4,4,6.9,0
31,46000,6,4,7.2,0
34,54000,8,6,8.9,1
36,57000,9,6,9.7,1
39,60000,11,7,10.4,1
42,67000,14,8,12.0,1
45,71000,17,9,12.8,1
51,81000,23,10,15.1,1
54,90000,28,11,16.8,1
25,34000,2,2,4.6,0
29,44000,5,3,6.1,0
33,51000,7,5,7.9,1
35,55000,9,6,9.3,1
38,62000,12,7,10.9,1
41,66000,14,8,11.7,1
47,77000,20,9,14.0,1
52,84000,25,10,15.8,1
